,STT,KYHIEU_KHUO,TEN_CHUCNANG,DIENTICH_ha,DANSO,TANGCAO_MIN,TANGCAO_MAX,MATDOXD,HESOSDD_MAX
0,A,A,ĐƠN VỊ Ở I,58.56,5061,1,12,80,
1,1,A1,ĐẤT Ở HIỆN HỮU,2.23,624,1,5,80,4
2,2,A2,ĐẤT Ở HIỆN HỮU,1.56,437,1,5,80,4
3,3,A3,ĐẤT Ở HIỆN HỮU,0.33,92,1,5,80,4
4,4,A4,ĐẤT Ở HIỆN HỮU,0.35,98,1,5,80,4
5,5,A5,ĐẤT Ở HIỆN HỮU,1.08,302,1,5,80,4
6,6,A6,ĐẤT Ở HIỆN HỮU,2.03,568,1,5,80,4
7,7,A7,ĐẤT Ở HIỆN HỮU,4.97,1392,1,5,80,4
8,8,A8,ĐẤT Ở HIỆN HỮU,2.04,571,1,5,80,4
9,9,A9,ĐẤT Ở HIỆN HỮU,1.87,524,1,5,80,4
10,10,A10,ĐẤT Ở XÂY MỚI (DỰ ÁN NHÀ Ở CTY THANH NHỰT),1.01,452,5,12,40,4.8
11,11,A11,TRƯỜNG MẦM NON,0.8,-,1,2,40,0.8
12,12,A12,TRƯỜNG TIỂU HỌC TẠ UYÊN,0.18,-,1,3,40,1.2
13,13,A13,BỆNH VIỆN PHỤC HỒI CHỨC NĂNG CHO TRẺ TÀN TẬT,0.7,-,1,4,35,1.4
14,14,A14,NHÀ VĂN HÓA,0.03,-,1,4,80,3.2
15,15,A15,KHO XE TANG VẬT VÀ ĐỘI ĐĂNG KÝ XE Ô TÔ,3.09,-,1,4,35,1.4
16,16,A16,TRUNG TÂM HUẤN LUYỆN CHÓ NGHIỆP VỤ PHÍA NAM,4.93,-,1,4,35,1.4
17,17,A17,HÀNH CHÍNH,0.005,-,1,4,80,3.2
18,18,A18,GA DEPOT TUYẾN ĐƯỜNG SẮT ĐÔ THỊ BẾN THÀNH -  SUỐI TIÊN,27.45,-,-,-,-,-
19,,,,,,,,,
20,19,A19,ĐẤT TÔN GIÁO HIỆN HỮU (NHÀ SINH HOẠT MỤC VỤ),0.17,-,1,5,70,3.5
21,20,A20,ĐẤT TÔN GIÁO HIỆN HỮU (GIÁO XỨ CAO THÁI),0.33,-,1,5,70,3.5
22,21,A21,ĐẤT TÔN GIÁO HIỆN HỮU (GIÁO XỨ),0.32,-,1,5,70,3.5
23,22,A22,ĐẤT TÔN GIÁO HIỆN HỮU (MIẾU BÀ NGŨ HÀNH),0.04,-,1,5,70,3.5
24,23,A23,ĐẤT CÔNG VIÊN - TDTT,2.48,-,1,1,5,0.05
25,24,A24,ĐẤT CÔNG VIÊN CÂY XANH,0.08,-,1,1,5,0.05
26,25,A25,ĐẤT CÔNG VIÊN CÂY XANH,0.15,-,1,1,5,0.05
27,26,A26,ĐẤT CÔNG VIÊN CÂY XANH,0.02,-,1,1,5,0.05
28,27,A27,ĐẤT ĐẦU MỐI HẠ TẦNG KỸ THUẬT (TRẠM XỬ LÝ NƯỚC THẢI NGẦM),0.31,-,-,-,-,-
29,B,B,ĐƠN VỊ Ở II,61.3,9939,1,12,80,
30,1,B1,ĐẤT Ở HIỆN HỮU,3.27,385,1,5,80,4
31,2,B2,ĐẤT Ở HIỆN HỮU,0.5,59,1,5,80,4
32,3,B3,ĐẤT Ở HIỆN HỮU,0.27,32,1,5,80,4
33,4,B4,ĐẤT Ở HIỆN HỮU,0.62,73,1,5,80,4
34,5,B5,ĐẤT Ở HIỆN HỮU,0.62,73,1,5,80,4
35,6,B6,ĐẤT Ở HIỆN HỮU,1.29,152,1,5,80,4
36,7,B7,ĐẤT Ở HIỆN HỮU,3.85,453,1,5,80,4
37,8,B8,ĐẤT Ở HIỆN HỮU,1.76,207,1,5,80,4
38,9,B9,ĐẤT Ở HIỆN HỮU,0.57,67,1,5,80,4
39,10,B10,ĐẤT Ở HIỆN HỮU,0.36,42,1,5,80,4
40,11,B11,ĐẤT Ở HIỆN HỮU,0.14,16,1,5,80,4
41,12,B12,ĐẤT Ở XÂY MỚI,1.84,2300,18,18,50,9
42,13,B13,ĐẤT Ở XÂY MỚI,1.29,1460,22,22,50,11
43,14,B14,ĐẤT Ở XÂY MỚI,0.57,660,26,26,50,13
44,15,B15,ĐẤT Ở XÂY MỚI,2.38,415,3,3,80,2.4
45,16,B16,ĐẤT Ở XÂY MỚI,0.43,485,22,22,50,11
46,17,B17,ĐẤT Ở XÂY MỚI,1.68,405,3,3,80,2.4
47,18,B18,ĐẤT Ở XÂY MỚI,2.56,765,6,8,40,3.2
48,19,B19,ĐẤT HỖN HỢP,6.06,1891,1,12,40,1.62
49,20,B20,ĐẤT THƯƠNG MẠI CẤP ĐÔ THỊ,0.65,-,1,5,40,2
50,21,B21,ĐẤT THƯƠNG MẠI CẤP ĐÔ THỊ,1.57,-,1,5,40,2
51,22,B22,TRƯỜNG TIỂU HỌC,0.61,-,1,3,40,1.2
52,23,B23,TRƯỜNG MẦM NON,0.4,-,1,2,40,0.8
53,24,B24,TRƯỜNG THCS,1.76,-,1,4,40,1.6
54,25,B25,TRƯỜNG MẦM NON,0.55,-,1,2,40,0.8
55,26,B26,TRƯỜNG THPT,1.47,-,1,5,40,2
56,27,B27,NHÀ VĂN HÓA,0.06,-,1,4,40,1.6
57,28,B28,TRẠM Y TẾ,0.19,-,1,4,40,1.6
58,29,B29,TRUNG TÂM Y TẾ,0.33,-,1,4,40,1.6
59,30,B30,ĐẤT CÔNG VIÊN CÂY XANH,1.4,-,1,1,5,0.05
60,31,B31,ĐẤT CÔNG VIÊN - TDTT,0.16,-,1,1,5,0.05
61,32,B32,ĐẤT CÔNG VIÊN - TDTT,0.1,-,1,1,5,0.05
62,33,B33,ĐẤT CÔNG VIÊN CÂY XANH,0.01,-,1,1,5,0.05
63,34,B34,ĐẤT CÔNG VIÊN CÂY XANH,1.19,-,1,1,5,0.05
64,35,B35,ĐẤT CÔNG VIÊN CÂY XANH,0.74,-,1,1,5,0.05
65,36,B36,ĐẤT CÔNG VIÊN CÂY XANH,0.83,-,1,1,5,0.05
66,37,B37,ĐẤT CÔNG VIÊN CÂY XANH,0.05,-,1,1,5,0.05
67,38,B38,ĐẤT CÔNG VIÊN CÂY XANH,0.08,-,1,1,5,0.05
68,39,B39,ĐẤT CÔNG VIÊN CÂY XANH,0.97,-,1,1,5,0.05
69,40,B40,ĐẤT ĐẦU MỐI HẠ TẦNG KỸ THUẬT (TRẠM XỬ LÝ NƯỚC THẢI NGẦM),0.45,-,-,-,-,-
70,,,,,,,,,
71,41,B41,BẾN XE SUỐI TIÊN,12.37,-,-,-,-,-
72,42,B42,ĐẤT QUÂN SỰ,5.3,-,-,-,-,-
73,43,43,ĐẤT GIAO THÔNG,19.28,-,-,-,-,-
74,44,44,TỔNG CỘNG,139.13,15000,1,26,80,13
